date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:34	6572/6572	U-----	200	untouched ('')	image/png	etag:%2296e410-19ac-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/ch25-stack.png	book.realworldhaskell.org/read/figs/ch25-stack.png	(from http://book.realworldhaskell.org/read/profiling-and-optimization.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:34%20GMT	http://book.realworldhaskell.org/read/images/callouts/2.png	book.realworldhaskell.org/read/images/callouts/2.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:34%20GMT	http://book.realworldhaskell.org/read/images/callouts/3.png	book.realworldhaskell.org/read/images/callouts/3.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:34%20GMT	http://book.realworldhaskell.org/read/images/callouts/4.png	book.realworldhaskell.org/read/images/callouts/4.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:34%20GMT	http://book.realworldhaskell.org/read/images/callouts/1.png	book.realworldhaskell.org/read/images/callouts/1.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/5.png	book.realworldhaskell.org/read/images/callouts/5.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/6.png	book.realworldhaskell.org/read/images/callouts/6.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/7.png	book.realworldhaskell.org/read/images/callouts/7.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/8.png	book.realworldhaskell.org/read/images/callouts/8.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	72976/72976	U-----	200	untouched ('')	image/png	etag:%2296cc7a-11d10-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/win32-download.png	book.realworldhaskell.org/read/figs/win32-download.png	(from http://book.realworldhaskell.org/read/installing-ghc-and-haskell-libraries.html)
09:44:35	53703/53703	U-----	200	untouched ('')	image/png	etag:%2296cc7d-d1c7-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/win32-wizard1.png	book.realworldhaskell.org/read/figs/win32-wizard1.png	(from http://book.realworldhaskell.org/read/installing-ghc-and-haskell-libraries.html)
09:44:35	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/9.png	book.realworldhaskell.org/read/images/callouts/9.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:35	316/316	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2014:44:35%20GMT	http://book.realworldhaskell.org/read/images/callouts/10.png	book.realworldhaskell.org/read/images/callouts/10.html	(from http://book.realworldhaskell.org/read/advanced-library-design-building-a-bloom-filter.html)
09:44:36	47993/47993	U-----	200	untouched ('')	image/png	etag:%2296cc7b-bb79-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/win32-ghci.png	book.realworldhaskell.org/read/figs/win32-ghci.png	(from http://book.realworldhaskell.org/read/installing-ghc-and-haskell-libraries.html)
09:44:36	208668/208668	U-----	200	untouched ('')	image/png	etag:%2296cc60-32f1c-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/win32-start-menu.png	book.realworldhaskell.org/read/figs/win32-start-menu.png	(from http://book.realworldhaskell.org/read/installing-ghc-and-haskell-libraries.html)
09:44:36	32651/32651	U-----	200	untouched ('')	image/png	etag:%2296cc83-7f8b-455b958bdff40%22	http://book.realworldhaskell.org/read/figs/osx-ghci.png	book.realworldhaskell.org/read/figs/osx-ghci.png	(from http://book.realworldhaskell.org/read/installing-ghc-and-haskell-libraries.html)
09:44:36	1560/1560	U-----	200	untouched ('OK')	text/html	etag:%22160ceb7-618-4269b5002f4c0%22	http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_notes/1.html	www.cse.chalmers.se/_rjmh/QuickCheck/manual_notes/1.html	(from http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_body.html)
09:44:36	1592/1592	U-----	200	untouched ('')	text/plain	etag:%22160ce2f-638-35b50a56c9540%22	http://www.cse.chalmers.se/~rjmh/QuickCheck/quickCheck	www.cse.chalmers.se/_rjmh/QuickCheck/quickCheck	(from http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_body.html)
09:44:36	10492/10492	U--M--	200	updated ('OK')	text/html	etag:%225e2070aa24a95f4bfd0d9f4d1c83d426%22	http://chimera.labs.oreilly.com/books/1230000000929/co01.html	chimera.labs.oreilly.com/books/1230000000929/co01.html	(from http://chimera.labs.oreilly.com/books/1230000000929/ix01.html)
09:44:36	1293/1293	U-----	200	untouched ('OK')	text/html	etag:%22160ceb9-50d-4269b5002f4c0%22	http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_notes/3.html	www.cse.chalmers.se/_rjmh/QuickCheck/manual_notes/3.html	(from http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_body.html)
09:44:36	70/70	U-----	200	untouched ('OK')	text/html	etag:%22160ceb8-46-4269b5002f4c0%22	http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_notes/2.html	www.cse.chalmers.se/_rjmh/QuickCheck/manual_notes/2.html	(from http://www.cse.chalmers.se/~rjmh/QuickCheck/manual_body.html)
09:44:37	57761/57761	U-----	200	untouched ('')	image/png	etag:%22e1a1-4a729f3957a40%22	http://learnyouahaskell.com/newsplash.png	learnyouahaskell.com/newsplash.png	(from http://learnyouahaskell.com/)
09:44:37	62460/62460	U-----	200	untouched ('')	application/pdf	etag:%22f3fc-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/docs/style.pdf	www.cis.upenn.edu/_cis194/spring13/docs/style.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	10496/10496	U-----	200	untouched ('OK')	text/html	etag:%222900-4d98de8f79b40%22	http://www.cis.upenn.edu/~cis194/spring13/submission/hwsubmission.html	www.cis.upenn.edu/_cis194/spring13/submission/hwsubmission.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	38012/38012	U-----	200	untouched ('OK')	text/html	etag:%22947c-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/01-intro.html	www.cis.upenn.edu/_cis194/spring13/lectures/01-intro.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	3707/3707	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2018%20Dec%202016%2014:44:37%20GMT	http://learnyouahaskell.com/faq	learnyouahaskell.com/faq.html	(from http://learnyouahaskell.com/)
09:44:37	22094/22094	U-----	200	untouched ('')	text/x-literate-haskell	etag:%22564e-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/01-intro.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/01-intro.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	18811/18811	U-----	200	untouched ('OK')	text/html	etag:%22497b-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/02-ADTs.html	www.cis.upenn.edu/_cis194/spring13/lectures/02-ADTs.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	462680/462680	U-----	200	untouched ('')	application/pdf	etag:%2270f58-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/01-intro.pdf	www.cis.upenn.edu/_cis194/spring13/hw/01-intro.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:37	9628/9628	U-----	200	untouched ('')	text/x-literate-haskell	etag:%22259c-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/02-ADTs.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/02-ADTs.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	255721/255721	U-----	200	untouched ('')	application/pdf	etag:%223e6e9-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/02-ADTs.pdf	www.cis.upenn.edu/_cis194/spring13/hw/02-ADTs.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	330827/330827	U-----	200	untouched ('')	text/x-log	etag:%2250c4b-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/02-ADTs/error.log	www.cis.upenn.edu/_cis194/spring13/extras/02-ADTs/error.log	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	334/334	U-----	200	untouched ('')	text/x-log	etag:%2214e-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/02-ADTs/sample.log	www.cis.upenn.edu/_cis194/spring13/extras/02-ADTs/sample.log	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
